"TagID" "Week" "RKM"
"258" 335 5 23969.7
"259" 335 7 24973.9
"260" 335 9 32201.5
"261" 335 9 37666
"262" 335 12 37666
"263" 335 12 38935
"264" 335 14 38935
"265" 335 15 38935
"266" 335 16 38935
"267" 355 1 4000
"268" 355 1 5317.8
"269" 355 1 5317.8
"270" 355 1 6318.7
"271" 355 1 6318.7
"272" 355 2 6318.7
"273" 355 3 11624.3
"274" 355 3 13661.5
"275" 355 5 22912.9
"276" 355 7 24973.9
"277" 355 9 15669.4
"278" 355 10 17823.2
"279" 355 12 29117
"280" 355 12 30157.4
"281" 355 14 36666
"282" 355 15 36666
"283" 355 16 36666
"284" 355 16 36666
"285" 355 17 37666
"286" 355 18 37666
"287" 375 1 4000
"288" 375 1 6318.7
"289" 375 1 6318.7
"290" 375 1 7326.9
"291" 375 2 7326.9
"292" 375 3 12631.7
"293" 375 3 13661.5
"294" 375 5 20888.6
"295" 375 7 25978
"296" 375 9 22912.9
"297" 375 12 37666
"298" 375 12 38935
"299" 375 14 40751.5
"300" 375 15 40018.3
"301" 375 16 38935
"302" 375 16 37666
"303" 375 17 37666
"304" 394 1 4000
"305" 394 1 6318.7
"306" 394 1 6318.7
"307" 394 1 7326.9
"308" 394 1 8375.1
"309" 394 2 8375.1
"310" 394 3 10593.9
"311" 394 3 10593.9
"312" 394 5 10593.9
"313" 394 7 10593.9
"314" 394 10 10593.9
"315" 394 12 10593.9
"316" 414 1 4000
"317" 414 1 7326.9
"318" 414 1 7326.9
"319" 414 1 7326.9
"320" 414 2 8375.1
"321" 414 3 10593.9
"322" 414 3 11624.3
"323" 414 5 11624.3
"324" 414 7 11624.3
"325" 414 9 11624.3
"326" 414 10 15669.4
"327" 414 12 17823.2
"328" 414 16 17823.2
"329" 414 17 17823.2
"330" 434 1 4000
"331" 434 1 6318.7
"332" 434 1 6318.7
"333" 434 1 6318.7
"334" 434 2 7326.9
"335" 434 3 7326.9
"336" 434 3 8375.1
"337" 434 5 17823.2
"338" 434 7 29117
"339" 434 9 32201.5
"340" 434 10 33666
"341" 455 1 4000
"342" 455 1 5317.8
"343" 455 1 5317.8
"344" 455 1 5317.8
"345" 455 2 6318.7
"346" 455 3 8375.1
"347" 455 3 8375.1
"348" 455 5 11624.3
"349" 455 7 11624.3
"350" 455 9 17823.2
"351" 455 10 20888.6
"352" 455 12 27015.3
"353" 455 14 28044
"354" 455 15 29117
"355" 455 16 29117
"356" 474 1 4000
"357" 474 3 10593.9
"358" 474 3 7326.9
"359" 474 5 10593.9
"360" 474 7 11624.3
"361" 474 9 17823.2
"362" 474 10 20888.6
"363" 474 12 28044
"364" 474 14 25978
"365" 495 1 4000
"366" 495 3 10593.9
"367" 495 3 7326.9
"368" 495 5 10593.9
"369" 495 7 16804.6
"370" 495 9 15669.4
"371" 495 10 15669.4
"372" 495 12 16804.6
"373" 495 16 28044
"374" 495 16 28044
"375" 495 17 27015.3
"376" 515 1 4000
"377" 515 1 6318.7
"378" 515 1 6318.7
"379" 515 1 5317.8
"380" 515 2 5317.8
"381" 515 3 7326.9
"382" 515 3 7326.9
"383" 515 5 14665.2
"384" 515 7 17823.2
"385" 515 9 29117
"386" 515 10 33248.6
"387" 515 12 32201.5
"388" 515 12 33248.6
"389" 515 14 35317.3
"390" 515 15 34307.1
"391" 515 16 32201.5
"392" 515 16 32201.5
"393" 515 17 29117
"394" 515 18 29117
"395" 534 1 4000
"396" 534 3 6318.7
"397" 534 3 7326.9
"398" 534 5 10593.9
"399" 534 7 12631.7
"400" 534 9 16804.6
"401" 534 10 15669.4
"402" 534 12 17823.2
"403" 534 17 20888.6
"404" 534 17 21908.2
"405" 534 18 20888.6
"406" 554 1 4000
"407" 554 3 6318.7
"408" 554 3 7326.9
"409" 554 5 11624.3
"410" 554 7 11624.3
"411" 554 9 11624.3
"412" 554 10 15669.4
"413" 554 12 29117
"414" 575 1 4000
"415" 575 1 5317.8
"416" 575 1 5317.8
"417" 575 3 10593.9
"418" 575 3 8375.1
"419" 575 5 10593.9
"420" 575 7 20888.6
"421" 575 9 28044
"422" 575 10 32666
"423" 575 10 32666
"424" 575 12 29117
"425" 575 12 29117
"426" 575 14 35666
"427" 575 15 37666
"428" 575 16 37666
