"Nradionum","year","FL","FW"
15,1,-0.746536700040945,-0.771935098144132
25,1,1.13592199090859,1.23802065538937
35,1,-0.372623672386586,-0.48152324021914
54,1,-0.346836567031113,-0.405099067080984
74,1,-0.836791568785101,-0.81014718471321
95,1,0.181799092756085,-0.214038634235595
115,1,-0.24368814560922,-0.519735326788218
135,1,-0.346836567031113,-0.48152324021914
154,1,-1.04308841162889,-0.787219932771763
174,1,-0.630494725941316,-0.634371586495452
195,1,-1.15913038572851,-0.886571357851366
214,1,-0.604707620585843,-0.557947413357296
234,1,0.117331329367403,0.0534459717479503
254,1,-0.269475250964693,-0.48152324021914
275,1,-0.591814067908107,-0.596159499926374
294,1,-0.591814067908107,-0.596159499926374
315,1,-0.372623672386586,-0.175826547666517
335,1,-0.91415288485152,-0.802504767399395
355,1,-1.04308841162889,-0.93242586173426
375,1,-0.91415288485152,-0.787219932771763
394,1,-1.55883051873835,-1.20755288503162
414,1,1.81928028282863,1.43825198901133
434,1,0.413883040955343,0.320930577731496
455,1,1.92242870425052,2.53570311527525
474,1,1.44536725517427,1.37558416703805
495,1,1.47115436052974,1.42908108823475
515,1,0.903838042709332,0.527275845204516
534,1,1.88374804621731,2.31712998010013
554,1,0.504137909699499,0.420282002811098
575,1,0.787796068609703,0.473778924007807
