"Nradionum","year","FL","FW"
26,2,2.73105805327009,3.22594286841849
36,2,1.15598852718229,0.952915676859828
146,2,-0.261574046296723,-0.0382299008547032
166,2,0.289700287834006,0.0939228428405676
226,2,-0.123755462764041,-0.236459016397609
325,2,-1.2066157619494,-1.01616020419971
396,2,-1.46256455993867,-1.14831294789498
405,2,-1.40349945271038,-1.35975733780741
423,2,-1.26568086917769,-1.26725041722072
464,2,-1.54131803624306,-1.35975733780741
506,2,0.0337514898447386,0.186429763427257
526,2,0.40783050229059,0.252506135274893
546,2,0.880351360116929,0.952915676859828
555,2,2.02227676653058,2.04978344953058
566,2,0.56533745489937,0.199645037796784
586,2,0.230635180605713,0.477165799556853
626,2,0.0731282279969336,-0.104306272702339
646,2,0.112504966149128,-0.170382644549974
666,2,-0.497834475209893,-0.632917247483422
686,2,-0.143443831840138,-0.395042308831934
2275,2,0.270011918757908,0.159999214688203
9136,2,0.900039729193027,0.556457445774015
9295,2,0.289700287834006,0.292151958383474
9316,2,-0.930978594884037,-0.989729655460653
9356,2,-0.67502979689477,-0.302535388245245
9376,2,-0.615964689666477,-0.36861176009288
9916,2,0.3290770259862,0.358228330231109
9996,2,-0.163132200916236,-0.36861176009288
