"Nradionum","week","newRea1K","RELO_METHO"
9376,10,11,2
9376,10,13,1
9376,11,22,2
9376,12,22,2
9376,13,24,1
9376,13,27,2
9376,14,27,1
9376,14,27,2
9376,15,27,1
9376,15,27,2
9376,16,27,1
9916,4,5,1
9916,5,6,1
9916,5,7,1
9916,6,7,1
9916,7,7,1
9916,8,11,1
9916,10,11,2
9916,13,27,2
9916,14,22,2
9916,15,27,2
9996,4,5,1
9996,4,6,1
9996,5,6,1
9996,5,7,1
9996,6,7,1
9996,7,10,1
9996,8,12,2
9996,8,15,1
9996,10,27,2
9996,10,27,1
9996,11,32,2
9996,12,42,2
9996,12,42,1
9996,13,44,2
9996,13,45,1
9996,14,44,2
9996,14,45,1
9996,15,45,2
9996,15,45,1
