"TagID" "Week" "RKM"
"1" 25 1 51000.00011
"2" 25 3 51000.00011
"3" 25 5 48000.00007
"4" 25 5 48000.00007
"5" 25 6 46000.00013
"6" 25 8 38000.00012
"7" 25 9 38000.00012
"8" 25 13 38000.00012
"9" 35 1 52000.00008
"10" 35 2 52000.00008
"11" 35 3 46000.00013
"12" 35 3 32000.00016
"13" 35 3 30000.0002
"14" 35 4 29000.00019
"15" 35 5 29000.00019
"16" 35 5 29000.00019
"17" 35 6 31000.00022
"18" 35 8 29000.00019
"19" 115 1 90283.40006
"20" 115 2 90283.40006
"21" 115 3 90283.40006
"22" 115 4 89254.30006
"23" 115 6 89254.30006
"24" 174 1 90283.40006
"25" 174 2 91298.40006
"26" 174 3 19000.00028
"27" 174 3 19000.00028
"28" 174 5 19000.00028
"29" 174 5 21000.00023
"30" 225 1 93404.00006
"31" 225 3 93404.00006
"32" 225 3 92345.50006
"33" 225 4 64414.70006
"34" 225 4 64414.70006
"35" 225 5 56000
"36" 225 7 28000.00025
"37" 225 8 28000.00025
"38" 225 10 28000.00025
"39" 225 11 28000.00025
"40" 225 12 28000.00025
"41" 225 15 28000.00025
"42" 225 16 28000.00025
"43" 225 17 28000.00025
"44" 225 17 28000.00025
"45" 225 18 28000.00025
"46" 225 4 64414.70006
"47" 225 5 56000
"48" 254 1 94762.90006
"49" 254 3 94762.90006
"50" 254 3 94762.90006
"51" 254 4 94762.90006
"52" 254 6 50000.00017
"53" 254 8 50000.00017
"54" 254 9 50000.00017
"55" 254 13 50000.00017
"56" 254 16 51000.00011
"57" 305 1 56000
"58" 305 1 58000.00006
"59" 305 1 58000.00006
"60" 305 1 61202.50006
"61" 305 1 53000.00013
"62" 305 3 56000
"63" 305 4 56000
"64" 305 4 56000
"65" 305 5 56000
"66" 324 1 64414.70006
"67" 324 3 64414.70006
"68" 324 4 63411.50006
"69" 324 4 64414.70006
"70" 324 5 57000.00009
"71" 324 6 54000.00012
"72" 324 8 51000.00011
"73" 324 10 51000.00011
"74" 324 11 50000.00017
"75" 324 12 51000.00011
"76" 324 15 51000.00011
"77" 335 1 96762.90006
"78" 335 2 96762.90006
"79" 335 2 82009.80006
"80" 335 3 78955.30006
"81" 335 3 64414.70006
"82" 335 9 51000.00011
"83" 394 1 35000.0001
"84" 394 3 36000.0001
"85" 394 4 36000.0001
"86" 394 5 36000.0001
"87" 394 5 36000.0001
"88" 394 6 36000.0001
"89" 394 8 25000.00017
"90" 394 9 25000.00017
"91" 394 13 25000.00017
"92" 395 1 64414.70006
"93" 395 3 64414.70006
"94" 395 4 16000.00018
"95" 395 5 16000.00018
"96" 395 6 16000.00018
"97" 395 8 16000.00018
"98" 395 10 16000.00018
"99" 395 11 16000.00018
"100" 395 14 16000.00018
"101" 422 1 79985.50006
"102" 422 2 79985.50006
"103" 422 3 58000.00006
"104" 422 4 56000
"105" 422 4 56000
"106" 422 5 56000
"107" 422 6 56000
"108" 422 8 56000
"109" 422 10 56000
"110" 422 11 56000
"111" 455 1 86112.20006
"112" 455 2 86112.20006
"113" 455 3 36000.0001
"114" 455 4 34000.00013
"115" 455 5 25000.00017
"116" 455 5 25000.00017
"117" 455 6 25000.00017
"118" 455 8 25000.00017
"119" 463 1 82009.80006
"120" 463 3 82009.80006
"121" 463 4 56000
"122" 463 4 40000.00006
"123" 463 5 40000.00006
"124" 463 5 36000.0001
"125" 463 6 41000.00001
"126" 463 8 41000.00001
"127" 463 10 41000.00001
"128" 463 11 41000.00001
"129" 463 14 41000.00001
"130" 463 16 41000.00001
"131" 463 17 41000.00001
"132" 463 17 41000.00001
"133" 463 18 40000.00006
"134" 463 19 40000.00006
"135" 505 1 64414.70006
"136" 505 3 64414.70006
"137" 505 4 48000.00007
"138" 505 4 49000.00012
"139" 505 5 49000.00012
"140" 505 6 49000.00012
"141" 505 8 49000.00012
"142" 505 10 49000.00012
"143" 505 11 49000.00012
"144" 505 12 49000.00012
"145" 575 1 94762.90006
"146" 575 2 94762.90006
"147" 575 3 78955.30006
"148" 575 4 78955.30006
"149" 605 1 50000.00017
"150" 605 1 49000.00012
"151" 605 3 50000.00017
"152" 605 4 50000.00017
"153" 605 4 51000.00011
"154" 605 5 50000.00017
"155" 605 5 50000.00017
"156" 625 1 90283.40006
"157" 625 2 90283.40006
"158" 625 3 91298.40006
"159" 625 3 91298.40006
"160" 625 4 64414.70006
"161" 625 4 64414.70006
"162" 625 4 64414.70006
"163" 625 5 57000.00009
"164" 625 6 38000.00012
"165" 625 8 38000.00012
"166" 625 10 29000.00019
"167" 625 11 26000.00025
"168" 625 12 26000.00025
"169" 625 15 27000.0002
"170" 625 16 27000.0002
"171" 625 17 27000.0002
"172" 625 17 27000.0002
"173" 625 18 27000.0002
"174" 625 19 27000.0002
"175" 1495 1 64414.70006
"176" 1495 3 64414.70006
"177" 1495 3 38000.00012
"178" 1495 4 1000
"179" 1495 5 1000
"180" 1495 5 1000
"181" 1495 6 1000
"182" 1495 8 1000
"183" 1495 9 1000
"184" 1495 13 1000
"185" 1495 16 1000
"186" 9294 1 89254.30006
"187" 9294 2 89254.30006
"188" 9294 4 37000.00006
"189" 9294 5 7000.000128
"190" 9294 5 7000.000128
"191" 9294 6 7000.000128
"192" 9294 8 6000.000173
"193" 9294 10 5000.000134
"194" 9294 11 4000.000095
"195" 9375 1 64414.70006
"196" 9375 3 64414.70006
"197" 9375 4 57000.00009
"198" 9375 5 55000.0001
"199" 9375 5 55000.0001
"200" 9935 1 1999.999997
"201" 9935 4 3000.000047
"202" 9935 5 3000.000047
"203" 9935 6 3000.000047
"204" 9935 8 3000.000047
"205" 9935 10 3000.000047
"206" 9935 11 3000.000047
"207" 9935 15 3000.000047
"208" 9935 16 3000.000047
"209" 9935 17 3000.000047
"210" 9935 17 3000.000047
"211" 9935 19 3000.000047
"212" 9995 1 91298.40006
"213" 9995 3 91298.40006
